precision,recall,f1,anomaly_rate_pred,anomaly_rate_true,test_size,name,category
0.02857142857142857,1.0,0.05555555555555555,0.10638297872340426,0.00303951367781155,329,exchange-4_cpm_results,realAdExchange
0.023529411764705882,1.0,0.04597701149425287,0.10532837670384139,0.0024783147459727386,807,ec2_cpu_utilization_24ae8d,realAWSCloudwatch
0.0021008403361344537,1.0,0.0041928721174004195,0.5898389095415117,0.0012391573729863693,807,ec2_cpu_utilization_ac20cd,realAWSCloudwatch
0.012987012987012988,1.0,0.02564102564102564,0.09541511771995044,0.0012391573729863693,807,elb_request_count_8c0756,realAWSCloudwatch
0.001145475372279496,1.0,0.002288329519450801,0.9437837837837838,0.001081081081081081,925,grok_asg_anomaly,realAWSCloudwatch
0.0,0.0,0.0,0.28376703841387857,0.0012391573729863693,807,rds_cpu_utilization_cc0c53,realAWSCloudwatch
0.0029154518950437317,1.0,0.005813953488372093,0.2359009628610729,0.000687757909215956,1454,ambient_temperature_system_failure,realKnownCause
0.001364256480218281,1.0,0.0027247956403269754,0.40609418282548476,0.000554016620498615,3610,cpu_utilization_asg_misconfiguration,realKnownCause
0.04081632653061224,1.0,0.0784313725490196,0.06071871127633209,0.0024783147459727386,807,ec2_request_latency_system_failure,realKnownCause
0.005208333333333333,1.0,0.010362694300518135,0.04230006609385327,0.0002203128442388191,4539,machine_temperature_system_failure,realKnownCause
0.009900990099009901,0.6666666666666666,0.01951219512195122,0.09786821705426356,0.0014534883720930232,2064,nyc_taxi,realKnownCause
0.028985507246376812,1.0,0.056338028169014086,0.138,0.004,500,occupancy_t4013,realTraffic
0.014925373134328358,1.0,0.029411764705882353,0.134,0.002,500,speed_6005,realTraffic
0.05263157894736842,1.0,0.1,0.168141592920354,0.008849557522123894,226,speed_7578,realTraffic
0.023255813953488372,1.0,0.045454545454545456,0.17234468937875752,0.004008016032064128,499,speed_t4013,realTraffic
0.010101010101010102,1.0,0.02,0.03122043519394513,0.000315357931251971,3171,Twitter_volume_CVS,realTweets
0.0049504950495049506,1.0,0.009852216748768473,0.06354199433784209,0.00031456432840515884,3179,Twitter_volume_IBM,realTweets
0.008849557522123894,1.0,0.017543859649122806,0.035635446231472724,0.000315357931251971,3171,Twitter_volume_KO,realTweets
