model,accuracy,precision,recall,f1,auc_roc,auc_pr,threshold
LightGBM Classifier,0.9809976247030879,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.994300518134715,0.9230269104932263,0.9759616036410755
Logistic Regression,0.9857482185273159,0.8717948717948718,0.9714285714285714,0.918918918918919,0.9967431532198371,0.957425776642796,0.8751503167190744
Random Forest,0.9881235154394299,0.875,1.0,0.9333333333333333,0.9960029607698002,0.9522081671113242,0.6936380211071099
