name,category,ensemble_f1,ensemble_precision,ensemble_recall,best_single_f1,models_used,anomaly_rate_pred,anomaly_rate_true
ec2_cpu_utilization_24ae8d,realAWSCloudwatch,0.05,0.02564102564102564,1.0,0.06557377049180328,4,0.09665427509293681,0.0024783147459727386
ec2_cpu_utilization_ac20cd,realAWSCloudwatch,0.004149377593360996,0.002079002079002079,1.0,0.0041928721174004195,4,0.5960346964064436,0.0012391573729863693
elb_request_count_8c0756,realAWSCloudwatch,0.03125,0.015873015873015872,1.0,0.04878048780487805,4,0.07806691449814127,0.0012391573729863693
grok_asg_anomaly,realAWSCloudwatch,0.002285714285714286,0.0011441647597254005,1.0,0.006493506493506494,4,0.9448648648648649,0.001081081081081081
rds_cpu_utilization_cc0c53,realAWSCloudwatch,0.0024752475247524753,0.0012391573729863693,1.0,0.07142857142857142,4,1.0,0.0012391573729863693
Twitter_volume_CVS,realTweets,0.02564102564102564,0.012987012987012988,1.0,0.02,4,0.024282560706401765,0.000315357931251971
Twitter_volume_IBM,realTweets,0.008583690987124463,0.004310344827586207,1.0,0.009852216748768473,4,0.07297892418999685,0.00031456432840515884
Twitter_volume_KO,realTweets,0.07692307692307693,0.04,1.0,0.10526315789473684,4,0.007883948281299276,0.000315357931251971
