precision,recall,f1,anomaly_rate_pred,anomaly_rate_true,test_size,name,category
0.1,1.0,0.18181818181818182,0.030395136778115502,0.00303951367781155,329,exchange-4_cpm_results,realAdExchange
0.13333333333333333,1.0,0.23529411764705882,0.01858736059479554,0.0024783147459727386,807,ec2_cpu_utilization_24ae8d,realAWSCloudwatch
0.07142857142857142,1.0,0.13333333333333333,0.01734820322180917,0.0012391573729863693,807,ec2_cpu_utilization_ac20cd,realAWSCloudwatch
0.06666666666666667,1.0,0.125,0.01858736059479554,0.0012391573729863693,807,elb_request_count_8c0756,realAWSCloudwatch
0.0035211267605633804,1.0,0.007017543859649123,0.307027027027027,0.001081081081081081,925,grok_asg_anomaly,realAWSCloudwatch
0.0012437810945273632,1.0,0.002484472049689441,0.9962825278810409,0.0012391573729863693,807,rds_cpu_utilization_cc0c53,realAWSCloudwatch
0.0,0.0,0.0,0.10660247592847318,0.000687757909215956,1454,ambient_temperature_system_failure,realKnownCause
0.0,0.0,0.0,0.08698060941828255,0.000554016620498615,3610,cpu_utilization_asg_misconfiguration,realKnownCause
0.0625,1.0,0.11764705882352941,0.03965303593556382,0.0024783147459727386,807,ec2_request_latency_system_failure,realKnownCause
0.0,0.0,0.0,0.004626569729015202,0.0002203128442388191,4539,machine_temperature_system_failure,realKnownCause
0.0,0.0,0.0,0.01937984496124031,0.0014534883720930232,2064,nyc_taxi,realKnownCause
0.0625,1.0,0.11764705882352941,0.064,0.004,500,occupancy_t4013,realTraffic
0.045454545454545456,1.0,0.08695652173913043,0.044,0.002,500,speed_6005,realTraffic
0.05263157894736842,1.0,0.1,0.168141592920354,0.008849557522123894,226,speed_7578,realTraffic
0.04878048780487805,1.0,0.09302325581395349,0.08216432865731463,0.004008016032064128,499,speed_t4013,realTraffic
0.034482758620689655,1.0,0.06666666666666667,0.00914538000630716,0.000315357931251971,3171,Twitter_volume_CVS,realTweets
0.006024096385542169,1.0,0.011976047904191617,0.05221767851525637,0.00031456432840515884,3179,Twitter_volume_IBM,realTweets
0.03333333333333333,1.0,0.06451612903225806,0.00946073793755913,0.000315357931251971,3171,Twitter_volume_KO,realTweets
