precision,recall,f1,anomaly_rate_pred,anomaly_rate_true,test_size,name,category
0.022727272727272728,1.0,0.044444444444444446,0.1337386018237082,0.00303951367781155,329,exchange-4_cpm_results,realAdExchange
0.03773584905660377,1.0,0.07272727272727272,0.06567534076827757,0.0024783147459727386,807,ec2_cpu_utilization_24ae8d,realAWSCloudwatch
0.0021231422505307855,1.0,0.00423728813559322,0.5836431226765799,0.0012391573729863693,807,ec2_cpu_utilization_ac20cd,realAWSCloudwatch
0.03125,1.0,0.06060606060606061,0.03965303593556382,0.0012391573729863693,807,elb_request_count_8c0756,realAWSCloudwatch
0.0011402508551881414,1.0,0.002277904328018223,0.9481081081081081,0.001081081081081081,925,grok_asg_anomaly,realAWSCloudwatch
0.0012391573729863693,1.0,0.0024752475247524753,1.0,0.0012391573729863693,807,rds_cpu_utilization_cc0c53,realAWSCloudwatch
0.0022371364653243847,1.0,0.004464285714285714,0.3074277854195323,0.000687757909215956,1454,ambient_temperature_system_failure,realKnownCause
0.0011534025374855825,1.0,0.002304147465437788,0.48033240997229915,0.000554016620498615,3610,cpu_utilization_asg_misconfiguration,realKnownCause
0.034482758620689655,1.0,0.06666666666666667,0.07187112763320942,0.0024783147459727386,807,ec2_request_latency_system_failure,realKnownCause
0.0021231422505307855,1.0,0.00423728813559322,0.1037673496364838,0.0002203128442388191,4539,machine_temperature_system_failure,realKnownCause
0.016260162601626018,0.6666666666666666,0.031746031746031744,0.059593023255813955,0.0014534883720930232,2064,nyc_taxi,realKnownCause
0.05263157894736842,1.0,0.1,0.076,0.004,500,occupancy_t4013,realTraffic
0.017241379310344827,1.0,0.03389830508474576,0.116,0.002,500,speed_6005,realTraffic
0.025,1.0,0.04878048780487805,0.35398230088495575,0.008849557522123894,226,speed_7578,realTraffic
0.028169014084507043,1.0,0.0547945205479452,0.14228456913827656,0.004008016032064128,499,speed_t4013,realTraffic
0.01818181818181818,1.0,0.03571428571428571,0.017344686218858405,0.000315357931251971,3171,Twitter_volume_CVS,realTweets
0.004201680672268907,1.0,0.008368200836820083,0.0748663101604278,0.00031456432840515884,3179,Twitter_volume_IBM,realTweets
0.023809523809523808,1.0,0.046511627906976744,0.013245033112582781,0.000315357931251971,3171,Twitter_volume_KO,realTweets
