name,category,ensemble_f1,ensemble_precision,ensemble_recall,best_single_f1,best_single_precision,anomaly_rate_pred,anomaly_rate_true
ec2_cpu_utilization_24ae8d,realAWSCloudwatch,0.4,0.25,1.0,0.06557377049180328,0.03389830508474576,0.009913258983890954,0.0024783147459727386
ec2_cpu_utilization_ac20cd,realAWSCloudwatch,0.004273504273504274,0.0021413276231263384,1.0,0.0041928721174004195,0.0021008403361344537,0.5786864931846345,0.0012391573729863693
elb_request_count_8c0756,realAWSCloudwatch,0.125,0.06666666666666667,1.0,0.04878048780487805,0.025,0.01858736059479554,0.0012391573729863693
grok_asg_anomaly,realAWSCloudwatch,0.006644518272425249,0.0033333333333333335,1.0,0.006493506493506494,0.003257328990228013,0.32432432432432434,0.001081081081081081
rds_cpu_utilization_cc0c53,realAWSCloudwatch,0.0,0.0,0.0,0.2,0.1111111111111111,0.0,0.0012391573729863693
Twitter_volume_CVS,realTweets,0.0625,0.03225806451612903,1.0,0.02,0.010101010101010102,0.009776095868811101,0.000315357931251971
Twitter_volume_IBM,realTweets,0.017543859649122806,0.008849557522123894,1.0,0.009852216748768473,0.0049504950495049506,0.03554576910978295,0.00031456432840515884
Twitter_volume_KO,realTweets,1.0,1.0,1.0,0.6666666666666666,0.5,0.000315357931251971,0.000315357931251971
